x,y,z
0.366308625,0.366308625,0.366308625
0.347409673367,0.347049497487,0.346963190955
0.329399873737,0.328649873737,0.328512626263
0.312291116751,0.311213071066,0.31113857868
0.296412755102,0.294878061224,0.295201913265
0.281496538462,0.279471025641,0.280317948718
0.267561340206,0.265137757732,0.266411082474
0.254536010363,0.251809067358,0.253374352332
0.242370833333,0.239427473958,0.2411953125
0.230937958115,0.227846073298,0.229768848168
0.220216710526,0.217045526316,0.219125131579
0.210234656085,0.207047751323,0.209226851852
0.200929255319,0.197810904255,0.200088164894
0.19225,0.189313368984,0.191671256684
0.184157258065,0.181490322581,0.183947580645
0.176644054054,0.174291621622,0.176892162162
0.169715081522,0.167674728261,0.170414266304
0.163320765027,0.161589754098,0.164473360656
0.157435714286,0.156047664835,0.159057142857
0.15207140884,0.151104558011,0.154130524862
0.147223888889,0.1466975,0.149650416667
0.142849860335,0.142781145251,0.145604748603
0.138895224719,0.139321348315,0.14195252809
0.135306920904,0.136311299435,0.13867980226
0.132084517045,0.133772017045,0.135766335227
0.129158285714,0.131624285714,0.133189142857
0.126562212644,0.129858477011,0.130967816092
0.124276156069,0.128463294798,0.129058959538
0.122252034884,0.127383575581,0.12743880814
0.120480409357,0.126583918129,0.126082602339
0.118940294118,0.126030147059,0.125003235294
0.117598964497,0.125704881657,0.124223076923
0.116426190476,0.125558035714,0.123686904762
0.115437125749,0.125592065868,0.123361676647
0.114646385542,0.125812048193,0.123205722892
0.114050151515,0.126188939394,0.123218939394
0.113669664634,0.126697103659,0.123426676829
0.113442331288,0.127332668712,0.123791871166
0.113373765432,0.128061111111,0.1242375
0.113518167702,0.128903726708,0.124810714286
0.1139034375,0.129846875,0.12550921875
0.114491509434,0.130869654088,0.126343081761
0.115267721519,0.131935759494,0.127312025316
0.116205095541,0.133089490446,0.12838343949
0.117365224359,0.134297435897,0.129532051282
0.118685645161,0.135574032258,0.130698387097
0.120084902597,0.136887987013,0.131869318182
0.121626470588,0.138203104575,0.133079411765
0.123207565789,0.139510690789,0.134247203947
0.124763741722,0.140755794702,0.135328642384
