pixel_start,pixel_end,volume,surface,euler
1,1,7104187,420021.427,-185
1,1,7005154,419514.932,-312.75
1,1,7015503,418066.299,-297.375
1,1,7078071,422656.374,-212.625
1,1,7064712,421341.409,-193.375
1,1,7028531,419468.774,-320.125
1,1,7104837,412251.65,-164.125
1,1,7015166,419717.535,-341.875
